module_ablation,frame_id,label,fusion_auroc_total,rgb_auroc,depth_auroc,fusion_auroc,rgb_isolated_auroc,depth_isolated_auroc,rgb_rank,rgb_score,depth_rank,depth_score,fusion_rank,fusion_score,rgb_isolated_rank,rgb_isolated_score,depth_isolated_rank,depth_isolated_score
no_ca,20251112_191827_Cam4_00063,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,2,0.02696721,10,0.01355386,5,0.02805670,12,0.00644741,10,0.01811923
no_ca,20251112_191827_Cam4_00066,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,5,0.02360750,11,0.01350923,8,0.02499687,5,0.00828859,11,0.01788088
no_ca,20251210_185619_Cam4_00034,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,7,0.01872227,16,0.01141927,10,0.02018108,14,0.00559697,14,0.01575582
no_ca,20251210_185619_Cam4_00046,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,11,0.01793865,15,0.01154466,15,0.01829054,17,0.00489545,15,0.01556409
no_ca,20250417_123456_Cam4_00140,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,8,0.01852911,12,0.01323880,13,0.01944426,4,0.00843671,12,0.01739018
no_ca,20250417_123456_Cam4_00162,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,6,0.01905869,6,0.01493187,11,0.02013126,7,0.00816251,13,0.01634884
no_ca,20251112_191827_Cam4_00011,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,14,0.01406125,5,0.01553485,12,0.01963545,9,0.00724587,6,0.01975333
no_ca,20251112_191827_Cam4_00015,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,10,0.01807964,1,0.06297293,1,0.06836567,0,0.01775952,1,0.06047324
no_ca,20251112_191827_Cam4_00028,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,13,0.01468896,2,0.04905940,2,0.05105836,2,0.01506777,2,0.04464119
no_ca,20251112_191827_Cam4_00054,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,3,0.02451789,9,0.01363772,6,0.02562716,3,0.00998813,9,0.01818111
no_ca,20251112_191827_Cam4_00088,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,0,0.02803571,7,0.01453794,4,0.02902579,10,0.00717380,7,0.01912072
no_ca,20251112_191827_Cam4_00095,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,12,0.01675678,0,0.06995626,0,0.07306190,1,0.01735068,0,0.06954610
no_ca,20251210_185619_Cam4_00022,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,9,0.01809640,14,0.01213308,14,0.01889536,13,0.00590414,16,0.01497036
no_ca,20251210_185619_Cam4_00024,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,1,0.02776176,3,0.03360664,3,0.03545015,8,0.00741093,4,0.03191406
no_cf,20250417_123456_Cam4_00079,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,9,0.00549520,17,0.00312868,15,0.00584621,10,0.00555536,17,0.00234065
no_cf,20250417_123456_Cam4_00134,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,15,0.00412744,4,0.01296322,4,0.01414999,15,0.00440780,4,0.01342622
no_cf,20250417_123456_Cam4_00152,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,14,0.00459337,2,0.01701966,2,0.01895221,14,0.00486077,2,0.01778718
no_cf,20251112_191827_Cam4_00034,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,6,0.00644314,11,0.00433489,12,0.00645345,6,0.00668855,13,0.00404344
no_cf,20251112_191827_Cam4_00063,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,12,0.00489796,14,0.00408392,16,0.00554065,13,0.00498230,16,0.00283819
no_cf,20251112_191827_Cam4_00066,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,8,0.00606011,8,0.00439717,13,0.00628315,5,0.00672714,8,0.00438865
no_cf,20251210_185619_Cam4_00034,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,11,0.00530684,12,0.00431806,11,0.00656928,11,0.00525362,9,0.00433732
no_cf,20251210_185619_Cam4_00046,0,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,17,0.00377693,10,0.00435107,17,0.00505705,17,0.00398427,11,0.00431030
no_cf,20250417_123456_Cam4_00140,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,4,0.00772900,9,0.00438781,9,0.00833921,3,0.00822190,10,0.00432128
no_cf,20250417_123456_Cam4_00162,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,7,0.00606087,16,0.00367457,14,0.00611192,8,0.00609443,12,0.00422623
no_cf,20251112_191827_Cam4_00011,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,13,0.00462613,7,0.00595299,8,0.00836070,12,0.00500538,7,0.00597831
no_cf,20251112_191827_Cam4_00015,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,0,0.01362059,1,0.03632302,1,0.04319095,0,0.01433850,1,0.03735947
no_cf,20251112_191827_Cam4_00028,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,1,0.00950471,3,0.01656589,3,0.01834592,1,0.01014558,3,0.01532882
no_cf,20251112_191827_Cam4_00054,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,3,0.00842316,15,0.00396957,6,0.01024284,4,0.00820342,14,0.00368449
no_cf,20251112_191827_Cam4_00088,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,5,0.00660775,13,0.00430842,10,0.00670028,7,0.00665390,15,0.00302694
no_cf,20251112_191827_Cam4_00095,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,2,0.00948483,0,0.04666752,0,0.04876355,2,0.01011845,0,0.04897339
no_cf,20251210_185619_Cam4_00022,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,16,0.00392677,6,0.00800832,7,0.00918076,16,0.00405326,6,0.00875746
no_cf,20251210_185619_Cam4_00024,1,0.77500000,0.80000000,0.62500000,0.77500000,0.78750000,0.65000000,10,0.00540812,5,0.01104756,5,0.01217521,9,0.00596924,5,0.01146893
no_cf_ca,20250417_123456_Cam4_00079,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,9,0.01000005,17,0.01016423,16,0.01414924,9,0.01000005,17,0.01016423
no_cf_ca,20250417_123456_Cam4_00134,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,15,0.00744436,5,0.01738340,5,0.02052716,15,0.00744436,5,0.01738340
no_cf_ca,20250417_123456_Cam4_00152,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,16,0.00716385,4,0.02589587,4,0.02912315,16,0.00716385,4,0.02589587
no_cf_ca,20251112_191827_Cam4_00034,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,11,0.00967259,8,0.01375989,11,0.01702300,11,0.00967259,8,0.01375989
no_cf_ca,20251112_191827_Cam4_00063,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,12,0.00960406,11,0.01325949,12,0.01632723,12,0.00960406,11,0.01325949
no_cf_ca,20251112_191827_Cam4_00066,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,4,0.01267413,9,0.01347193,9,0.01753684,4,0.01267413,9,0.01347193
no_cf_ca,20251210_185619_Cam4_00034,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,13,0.00920695,15,0.01134070,13,0.01557520,13,0.00920695,15,0.01134070
no_cf_ca,20251210_185619_Cam4_00046,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,17,0.00697108,16,0.01120617,17,0.01380634,17,0.00697108,16,0.01120617
no_cf_ca,20250417_123456_Cam4_00140,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,5,0.01133910,12,0.01269554,7,0.01799303,5,0.01133910,12,0.01269554
no_cf_ca,20250417_123456_Cam4_00162,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,7,0.01018050,13,0.01229348,14,0.01525257,7,0.01018050,13,0.01229348
no_cf_ca,20251112_191827_Cam4_00011,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,8,0.01001554,6,0.01526890,6,0.01855890,8,0.01001554,6,0.01526890
no_cf_ca,20251112_191827_Cam4_00015,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,0,0.02035873,1,0.05764142,1,0.06514777,0,0.02035873,1,0.05764142
no_cf_ca,20251112_191827_Cam4_00028,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,2,0.01781160,2,0.04401827,2,0.05068693,2,0.01781160,2,0.04401827
no_cf_ca,20251112_191827_Cam4_00054,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,3,0.01325061,10,0.01339052,8,0.01755143,3,0.01325061,10,0.01339052
no_cf_ca,20251112_191827_Cam4_00088,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,10,0.00987797,7,0.01431210,10,0.01734873,10,0.00987797,7,0.01431210
no_cf_ca,20251112_191827_Cam4_00095,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,1,0.01895656,0,0.06842674,0,0.07211991,1,0.01895656,0,0.06842674
no_cf_ca,20251210_185619_Cam4_00022,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,14,0.00879634,14,0.01196039,15,0.01511114,14,0.00879634,14,0.01196039
no_cf_ca,20251210_185619_Cam4_00024,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,6,0.01082477,3,0.02671531,3,0.03007195,6,0.01082477,3,0.02671531
